Country,partyID,partyNAME
Belarus,1120040,  United Democratic Opposition 
Belarus,1120041,  Zeljonya 
Belarus,1120042,  ZUBR 
Belarus,1120101,  A Lukashenko (Independent) - SEE POLITY NOTES
Belarus,1120333,  Republican Party of Labor and Justice 
Belarus,1129987,  Vote for at-large Candidate
Belarus,9999988,  None of the Candidates/Parties - SEE POLITY NOTES
Belarus,9999989,  Independent Candidate - SEE POLITY NOTES 
Belarus,9999992,  Other Party/Candidate - SEE POLITY NOTES
Belgium,560001,  New Flemish Alliance (N-VA)
Belgium,560002,  Socialist Party (Francophone) (SP)
Belgium,560003,  Christian Democratic & Flemish (CD&V) - SEE POLITY/ELECTION STUDY 
Belgium,560004,  Flemish Liberals and Democrats (VLD)
Belgium,560005,  Socialist Party Differently (SP
Belgium,560009,  People's Party (PP)
Belgium,560010,  Humanist Democratic Centre (CDH)
Belgium,560011,  Worker's Party of Belgium (PVDA / PTB) - SEE POLITY NOTES
Belgium,560012,  Flemish Block (VB)
Belgium,560013,  Confederated Ecologists (ECOLO)
Belgium,560014,  Democratic Francophones Front (FDF) / Democratic Federalist Independent (DeFI) 
Belgium,560015,  People's Union (VU)
Belgium,560016,  Liberal Reformist Party - Francophone Democratic Front (PRL-FDF)
Belgium,560017,  RESIST
Belgium,560018,  Live Differently - Flemish-speaking Ecologists (AGALEV) / Green -
Belgium,560019,  National Front (FN)
Belgium,560021,  Christian Social Party (CSP)
Belgium,560022,"  Spirit -- Social, Progressive, International, Regionalist, Democratic and Future-Oriented (SPIRIT)"
Belgium,560023,  Alive (V)
Belgium,560024,  Waardig Ouder Worden (WOW)
Belgium,560025,  Agir (Act)
Belgium,560026,  Reformist Movement (MR)
Belgium,560027,  Partij voor een Nieuwe Politiek in Belgie (PNPb)
Belgium,560028,  Francophone Christian Social Party (PSC)
Brazil,760001,  Workers Party (PT)
Brazil,760002,  Brazilian Social Democratic Party (PSDB)
Brazil,760003,  (Party of the) Brazilian Democratic Movement (PMDB/MDB) - SEE 
Brazil,760004,  Progressive Party (PP)
Brazil,760005,  Brazilian Socialist Party (PSB)
Brazil,760006,  Social Democratic Party (PSD)
Brazil,760007,  Republic Party (PR) - SEE POLITY NOTES
Brazil,760008,  Brazilian Republican Party (PRB)
Brazil,760009,  Democrats (DEM) - SEE POLITY/ELECTION STUDY NOTES
Brazil,760010,  Brazilian Labor Party (PTB)
Brazil,760011,  Labor Democratic Party (PDT)
Brazil,760012,  Solidarity (SD)
Brazil,760014,  New Party (NOVO)
Brazil,760015,  Sustainability Network (REDE)
Brazil,760016,  Social Christian Party (PSC)
Brazil,760017,  Green Party (PV)
Brazil,760018,  Popular Socialist Party (PPS)
Brazil,760019,  Republican Party of the Social Order (PROS)
Brazil,760020,  Communist Party of Brazil (PC do B)
Brazil,760021,  Socialism and Freedom Party (PSOL)
Brazil,760022,  Humanist Party of Solidarity (PHS)
Brazil,760023,  Labor Party of Brazil (PT do B) / Forward - SEE POLITY NOTES
Brazil,760024,  Social Liberal Party (PSL)
Brazil,760025,  National Labor Party (PTN) / Podemos (PODE) - SEE POLITY NOTES
Brazil,760026,  Progressive Republican Party (PRP)
Brazil,760027,  National Ecologic Party (PEN) / Patriota (PATRI) - SEE POLITY 
Brazil,760028,  Party of National Mobilization (PMN)
Brazil,760029,  Christian Labor Party (PTC)
Brazil,760030,  Free Homeland Party (PPL)
Brazil,760031,  Christian Social Democratic Party (PSDC) / Christian Democracy 
Brazil,760032,  Brazilian Labor Renewal Party (PRTB)
Brazil,760033,  Unified Socialist Workers' Party (PSTU)
Brazil,760034,  Brazilian Communist Party (PCB)
Brazil,760035,  Workers' Cause Party (PCO)
Brazil,760036,  Brazilian Woman's Party (PMB)
Brazil,760041,  Party of the Nations Retirees (PAN)
Brazil,760042,  Brazilian Democratic Party (PDB)
Brazil,760043,  National Democratic Party (PDN)
Brazil,760044,  Democratic Social Party (PDS)
Brazil,760046,  Liberal Party (PL)
Brazil,760047,  Party of the New Republic (PNR)
Brazil,760048,  Brazilian Progressive Party (PPB)
Brazil,760049,  National Order Reconstruction Party (PRONA)
Brazil,760050,  The Social Labor Party (PST)
Brazil,9999998,  Volunteered: Don't Know - SEE ELECTION STUDY NOTES
Bulgaria,1000001,  Citizens for European Development of Bulgaria (GERB)
Bulgaria,1000002,  Bulgarian Socialist Party (BSP)
Bulgaria,1000003,  Movement for Rights and Freedoms (DPS)
Bulgaria,1000004,  Reformist Bloc (RB) - SEE POLITY NOTES
Bulgaria,1000005,  Patriotic Front (NFSB and IMRO) - SEE POLITY NOTES
Bulgaria,1000006,  Bulgaria without Censorship (BBZ)
Bulgaria,1000007,  Attack (Ataka)
Bulgaria,1000008,  Alternative for Bulgarian Revival (ABV)
Bulgaria,1000009,  Movement 21 (D21)
Bulgaria,1000013,  Green Party (ZP)
Bulgaria,1000014,  Republic BG
Bulgaria,1000015,  PP New Time (NV)
Bulgaria,1000016,  New Force (NF)
Bulgaria,1000017,  United Bulgaria (OB)
Bulgaria,1000018,  Bulgarian Social Democratic Party (BSDP)
Bulgaria,1000019,  National Movement for Stability and Progress (NDS)
Bulgaria,1000020,  BSP Left Bulgaria - Coalition for Bulgaria (KzB | DL) -
Bulgaria,1000021,  Bulgarian Communist Party (KPB)
Bulgaria,1000022,  New Alternative (Nikolay Tzove's party) 
Bulgaria,1000023,  Left and Green Parties
Bulgaria,1000024,  Social Democratic Party (SDP)
Bulgaria,1000025,  Inner Macedonian Revolutionary Organization (VMRO)
Bulgaria,1000026,"  National Union, Fatherland Left"
Bulgaria,1000027,  Bulgarian Business Bloc (BBB)
Bulgaria,1000028,  Christian Social Union
Bulgaria,1000029,"  Coalition: Bulgarian Social Democratic Party, Democratic Left"
Bulgaria,1000030,"  Coalition: Georgievden, Inner Macedonian Revolutionary Organization"
Bulgaria,1000031,  Fatherland Party of Labor
Bulgaria,1000032,  National Union
Bulgaria,1000033,  The Bloc of G Ganchev
Bulgaria,1000034,  United Democratic Forces (UDF) - POLITY NOTES
Bulgaria,1000035,  Union Bulgaria
Bulgaria,1000036,  Movement 'Georgievden' (DG)
Bulgaria,1000037,  Union For National Salvation (NFSB)
Bulgaria,1000038,  Democratic Alternative For The Republic (DAR)
Bulgaria,1000039,  Eurorama (ER)
Bulgaria,1000040,  Euroleft (BE)
Bulgaria,1000042,  Bulgarian Agricultural National Forces - United (BZNS)
Bulgaria,1000043,  Bulgarian Agricultural National Forces – 'N  Petkov' (BZNS – NP)
Bulgaria,1000044,  Bulgarian Agricultural National Forces – 'Al  Stamboliski' 
Bulgaria,1000045,"  Bulgarian Agricultural National Forces, A Mauser, National Union"
Bulgaria,1000046,  Coalition United Agricultural Forces
Bulgaria,1000047,"  Order, Law and Justice (RZS)"
Bulgaria,1000048,  IMRO - Bulgarian National Movement
Bulgaria,1000049,  Leader
Bulgaria,1000050,  Bulgaria for Citizens Movement (BNG)
Bulgaria,1000051,  People's Voice (GN)
Bulgaria,1000200,  Coalition For Bulgaria (CB - KzB) - SEE POLITY NOTES
Bulgaria,1000201,  Democrats for Strong Bulgaria and Bulgarian Democratic Forum (DSB-BDF)
Canada,1240001,  Liberal Party (LIB)
Canada,1240002,  Conservative Party (CP)
Canada,1240003,  New Democratic Party (NDP)
Canada,1240004,  Bloc Quebecois (BQ) - SEE POLITY NOTES
Canada,1240005,  Green Party (GP)
Canada,1240006,  Progressive Conservative (PC)
Canada,1240007,  Reform Party (RPC)
Canada,1240008,  Alliance (Canadian Reform Conservative Alliance)
Canada,1240009,  People's Party (PP) 
Canada,1240015,  Marijuana Party
Canada,1240016,  Libertarian Party of Canada (LPC)
Canada,1240017,  Christian Heritage Party (CHP)
Chile,1520001,  Christian Democratic Party (PDC)
Chile,1520002,  Independent Democratic Union (UDI)
Chile,1520003,  National Renewal (RN)
Chile,1520004,  Socialist Party of Chile (PSCH)
Chile,1520005,  Party for Democracy (PPD)
Chile,1520006,  Communist Party of Chile (PCCh)
Chile,1520007,  Radical Social-Democratic Party (PRSD)
Chile,1520008,  Democratic Revolution (RD)
Chile,1520009,  Political Evolution (Evopoli)
Chile,1520011,  Peruvian Aprista Party (PAP)
Chile,1520012,  Electoral list of Marco Enriquez-Ominamo (MEO)
Chile,1520013,  Concertation of Parties for Democracy (CPD) - SEE POLITY NOTES
Chile,1520014,  Humanist Party (PH)
Chile,1520015,  Together We Can - SEE POLITY NOTES
Chile,1520016,  Social Green Regionalist Federation (FREVS)
Chile,1520017,  Liberal Party of Chile (PL)
Chile,1520020,  Coalition for Change (CC) - SEE POLITY NOTES
Chile,1520021,  Progressive Center-Center Union (UCCP)
Chile,1520022,  National Alliance of Independents
Chile,1520023,  Progressive Party (PRO)
Chile,1520024,  Equality Party (PI)
Chile,1520025,  Green Ecologist Party (PEV)
Chile,1520026,  Citizen Power
Chile,1520027,  Amplitude
Chile,1520028,  Patriotic Union (UPA)
Chile,1520029,  Independent Regionalist Party (PRI)
Chile,1520030,  Pais
Chile,1520031,  Citizens
Chile,1520032,  Patagonian Regional Democracy (DRP)
Chile,1520033,  Citizen Left Party of Chile (IC)
Chile,1520034,  MAS Region (MAS)
Chile,1520035,  Revolutionary Workers Party (PTR)
Chile,1520036,  Everybody
Chile,1520100,  Let's Go Chile
Chile,1520101,  The Force of the Majority
Chile,1520102,  Broad Front
Chile,1520103,  Democratic Convergence
Chile,1520104,  All Over Chile
Chile,1520105,  Green Regionalist Coalition
Chile,1520106,  Let's Add
Chile,1520200,  Jose Antonio Kast (Independent) - SEE POLITY NOTES
Chile,9999992,  Otro - SEE ELECTION STUDY NOTES
Costa Rica,1880001,  National Liberation Party (PLN)
Costa Rica,1880002,  National Restoration Party (PRN)
Costa Rica,1880003,  Citizens' Action Party (PAC)
Costa Rica,1880004,  Social Christian Unity Party (PUSC)
Costa Rica,1880005,  National Integration Party (PIN)
Costa Rica,1880006,  Social Christian Republican Party (PRSC)
Costa Rica,1880007,  Broad Front (FA)
Costa Rica,1880008,  Christian Democratic Alliance (ADC)
Costa Rica,1880009,  Libertarian Movement (PML)
Costa Rica,1880010,  Accessibility without Exclusion (PASE)
Costa Rica,1880011,  New Generation Party (PNG)
Costa Rica,1880012,  Costa Rican Renewal Party 
Costa Rica,1880013,  Authentic Limonense Party (PAL)
Costa Rica,1880014,  Liberal Progressive Party (PLP)
Costa Rica,1880015,  Worker's Party (PT)
Costa Rica,1880016,  Let's Go (VAMOS)
Costa Rica,1880017,  Guanacastecan Union Party (PUG)
Costa Rica,1880018,  United Communal Party (PCU)
Costa Rica,1880019,"  Homeland, Equality & Democracy Party (PID)"
Costa Rica,1880020,  New Republic Party 
Costa Rica,1880021,  National Advance Party 
Costa Rica,1880022,  New Fatherland Party 
Croatia,1910001,  Croatian Democratic Union (HDZ)
Croatia,1910002,  Social Democratic Party of Croatia (SDP)
Croatia,1910003,  Croatian People's Party - Liberal Democrats (HNS)
Croatia,1910006,  Croatian Party of Pensioners (HSU)
Croatia,1910007,  Croatian Peasant Party (HSS)
Croatia,1910008,  Croatian Social Liberal Party (HSLS)
Croatia,1910009,  Croatian Democratic Alliance of Slavonia and Baranja (HDSSB)
Croatia,1910010,  Croatian Party of Rights (HSP)
Croatia,1910011,  Istrian Democratic Assembly (IDS)
Croatia,1910015,  Croatian Christian Democratic Union (HKDU)
Croatia,1910016,  Croatian People's Party (HPS)
Croatia,1910017,  Independent Democratic Serbian Party (SDSS)
Croatia,1910018,  Croatian Bloc (HB)
Croatia,1910019,  Coalition of the Croatian Peasant Party and the Croatian Social Liberal Party (HSS and HSLS)
Croatia,1910020,  Minority Party
Croatia,1910021,  Croatian Youth Party (HSM)
Croatia,9999989,  Independent Candidate - SEE POLITY NOTES
Czech Republic/Czechia,2030001,  Czech Social Democratic Party (CSSD)
Czech Republic/Czechia,2030002,  Civic Democratic Party (ODS)
Czech Republic/Czechia,2030003,  Christian Democratic Union - Czech People's Party (KDU-CSL)
Czech Republic/Czechia,2030004,  Communist Party of Bohemia and Moravia (KSCM)
Czech Republic/Czechia,2030005,  Green Party (SZ)
Czech Republic/Czechia,2030006,  Action of Dissatisfied Citizens (ANO 2011)
Czech Republic/Czechia,2030007,  Freedom and Direct Democracy (SPD)
Czech Republic/Czechia,2030010,  TOP 09 (TOP 09)
Czech Republic/Czechia,2030011,  Civic Democratic Alliance (ODA)
Czech Republic/Czechia,2030012,  Czech Pirate Party (Pirati)
Czech Republic/Czechia,2030013,  Dawn of Direct Democracy of Tomio Okamura (Usvit)
Czech Republic/Czechia,2030014,  Public Affairs (VV)
Czech Republic/Czechia,2030015,  Mayors and Independents (STAN)
Czech Republic/Czechia,2030016,  Oath (PSH)
Czech Republic/Czechia,2030017,  Freedom Union - Democratic Union (US-DEU)
Czech Republic/Czechia,2030018,  Association for the Republic - Czech Republican Party (SPR-RSC)
Czech Republic/Czechia,2030019,  Balbin's Poetic Party (BPS)
Czech Republic/Czechia,2030020,  National Socialists - Left of the 21st century (LEV 21)
Czech Republic/Czechia,2030021,  Czech National Social Party (CSNS)
Czech Republic/Czechia,2030022,  Path of Change (CZ)
Czech Republic/Czechia,2030023,  Humanistic Party (HS)
Czech Republic/Czechia,2030024,  Moravian Democratic Party (MDS)
Czech Republic/Czechia,2030025,  Republicans (R)
Czech Republic/Czechia,2030026,  Right Block (RB)
Czech Republic/Czechia,2030027,  Miroslav Sladek's Republicans (RMS)
Czech Republic/Czechia,2030028,  Democratic League (DL)
Czech Republic/Czechia,2030029,  Association of Independents (SNK)
Czech Republic/Czechia,2030030,  The Block of Jana Bobosikova and Party of Common Sense (SZR)
Czech Republic/Czechia,2030031,  Party of Citizen Rights-Zemanites (SPO)
Czech Republic/Czechia,2030037,  National Citizen's Platform
Czech Republic/Czechia,2030038,  Action for the Abolition of the Senate and Against Tunnelling of the Pension Funds (AZS)
Czech Republic/Czechia,2030039,  Citizen Coalition - Political Club (CC-PC)
Czech Republic/Czechia,2030040,  Czech Movement for National Unity (CHNJ)
Czech Republic/Czechia,2030041,  Vote for the Right Bloc (CIBULKA)
Czech Republic/Czechia,2030042,  Czech Right (CP)
Czech Republic/Czechia,2030043,  Czech Social Democratic Movement (CSDH)
Czech Republic/Czechia,2030044,  Czech National Socialistic Party (CSNS 2005)
Czech Republic/Czechia,2030045,  Worker's Party of the Social Justice (DSSS)
Czech Republic/Czechia,2030046,  Democratic Union (DU)
Czech Republic/Czechia,2030047,  European Center (ES)
Czech Republic/Czechia,2030048,  Folklore and Society (FiS)
Czech Republic/Czechia,2030049,  Hope (H)
Czech Republic/Czechia,2030050,  Humanistic Alliance (HA)
Czech Republic/Czechia,2030051,  Helax-Ostrava has fun (HOB)
Czech Republic/Czechia,2030052,  Cheer Up - Voting Bloc (HV)
Czech Republic/Czechia,2030053,  The Jesus is the Lord (Jesus is the Lord) - SEE POLITY NOTES
Czech Republic/Czechia,2030054,  Club of Committed Non-Party Members (KAN)
Czech Republic/Czechia,2030055,  Czech Crown - Royal Party (KC)
Czech Republic/Czechia,2030056,  Key Moment (KH)
Czech Republic/Czechia,2030057,  Coalition for the Czech Republic (Koal CR)
Czech Republic/Czechia,2030058,  Conservative Party (KONS)
Czech Republic/Czechia,2030059,  Left Bloc (LB)
Czech Republic/Czechia,2030060,  Liberals
Czech Republic/Czechia,2030061,  Hope (N)
Czech Republic/Czechia,2030062,  National Democratic Party (NDS)
