id,country,year,Party,party,num_id,lhvote,lhseat,voterlr,pre_gov,post_gov,pmalt,prepmalt,partycountry,maj,pres,plu,majsurvey,nparty,wmedlrcvr,difmedlrcvr,remove_s,nelec,missing
AUS_2019,AUS,2019,Green,C,36003,10.4,0.66,2.77606383,0,0,0,0,AUS Green,0,0,0,0,5,0,3.842021277,0,5,0
AUS_2019,AUS,2019,NP,D,36004,4.51,6.62,6.618085106,1,1,0,0,AUS NP,0,0,0,0,5,1,0,0,5,0
AUS_2019,AUS,2019,ON,F,36006,3.08,0,6.857142857,0,0,0,0,AUS ON,0,0,0,0,5,0,0.239057751,0,5,0
AUT_2008,AUT,2008,SPO,A,400001,29.3,31.15,3.020895522,1,1,1,1,AUT SPO,0,0,1,0,7,0,2.699264959,0,3,0
AUT_2008,AUT,2008,OVP,B,400002,26,27.87,5.720160481,1,1,0,0,AUT OVP,0,0,0,0,7,1,0,0,3,0
AUT_2008,AUT,2008,FPO,C,400003,17.5,18.58,7.906976744,0,0,0,0,AUT FPO,0,0,0,0,7,0,2.186816263,0,3,0
AUT_2008,AUT,2008,BZO,D,400004,10.7,11.48,7.27589852,0,0,0,0,AUT BZO,0,0,0,0,7,0,1.555738039,0,3,0
AUT_2008,AUT,2008,Green,E,400005,10.4,10.93,2.615226337,0,0,0,0,AUT Green,0,0,0,0,7,0,3.104934144,0,3,0
AUT_2008,AUT,2008,LIF,F,400007,2.1,0,4.200808625,0,0,0,0,AUT LIF,0,0,0,0,7,0,1.519351856,0,3,0
AUT_2008,AUT,2008,LD,G,400013,1.8,0,4.884940778,0,0,0,0,AUT LD,0,0,0,0,7,0,0.835219703,0,3,0
AUT_2013,AUT,2013,SPO,A,400001,26.82,28.42,3.871882086,1,1,1,1,AUT SPO,0,0,1,0,7,0,1.35049172,0,3,0
AUT_2013,AUT,2013,OVP,B,400002,23.99,25.68,5.674233825,1,1,0,0,AUT OVP,0,0,0,0,7,0,0.451860019,0,3,0
AUT_2013,AUT,2013,FPO,C,400003,20.51,21.86,7.408883827,0,0,0,0,AUT FPO,0,0,0,0,7,0,2.186510021,0,3,0
AUT_2013,AUT,2013,Green,D,400005,12.42,13.11,3.216589862,0,0,0,0,AUT Green,0,0,0,0,7,0,2.005783945,0,3,0
AUT_2013,AUT,2013,BZO,E,400004,5.73,6.01,5.222373806,0,0,0,0,AUT BZO,0,0,0,0,7,1,0,0,3,0
AUT_2013,AUT,2013,NEOS,F,400010,4.96,4.92,4.40472879,0,0,0,0,AUT NEOS,0,0,0,0,7,0,0.817645016,0,3,0
AUT_2013,AUT,2013,Stronach,G,400012,3.53,0,6.156743621,0,0,0,0,AUT Stronach,0,0,0,0,7,0,0.934369815,0,3,0
AUT_2017,AUT,2017,OVP,A,40001,31.47,33.88,6.413379074,1,1,1,0,AUT OVP,0,0,1,0,6,1,0,0,3,0
AUT_2017,AUT,2017,SPO,B,40002,26.86,28.42,3.512820513,1,0,0,1,AUT SPO,0,0,0,0,6,0,2.900558561,0,3,0
AUT_2017,AUT,2017,FPO,C,40003,25.97,27.87,8.177625961,0,1,0,0,AUT FPO,0,0,0,0,6,0,1.764246887,0,3,0
AUT_2017,AUT,2017,NEOS,D,40004,5.3,5.46,5.313888889,0,0,0,0,AUT NEOS,0,0,0,0,6,0,1.099490185,0,3,0
AUT_2017,AUT,2017,PILZ,E,40005,4.41,4.37,2.946653734,0,0,0,0,AUT PILZ,0,0,0,0,6,0,3.46672534,0,3,0
AUT_2017,AUT,2017,Green,F,40006,3.8,0,2.495171203,0,0,0,0,AUT Green,0,0,0,0,6,0,3.918207871,0,3,0
BELF1999,BELF,1999,VLD,A,560004,23.4,25,5.747480106,0,1,1,0,BELF VLD,0,0,1,0,6,1,0,0,2,0
BELF1999,BELF,1999,CDV,B,560003,23.3,23.7,5.834291688,1,0,0,1,BELF CDV,0,0,0,0,6,0,0.086811582,0,2,0
BELF1999,BELF,1999,SP,C,560005,16.2,16.2,3.696315789,1,1,0,0,BELF SP,0,0,0,0,6,0,2.051164317,0,2,0
BELF1999,BELF,1999,VB,D,560012,15.9,16.2,7.044642857,0,0,0,0,BELF VB,0,0,0,0,6,0,1.297162751,0,2,0
BELF1999,BELF,1999,Green,E,560018,11.6,10,3.604444444,0,1,0,0,BELF Green,0,0,0,0,6,0,2.143035662,0,2,0
BELF1999,BELF,1999,NVA,F,560015,9.1,8.7,5.310716209,0,0,0,0,BELF NVA,0,0,0,0,6,0,0.436763897,0,2,0
BELF2003,BELF,2003,VLD,A,560004,15.36,16.67,NA,1,1,1,1,BELF VLD,0,0,1,0,5,NA,NA,0,2,1
BELF2003,BELF,2003,SP,B,560005,14.91,15.33,NA,1,1,0,0,BELF SP,0,0,0,0,5,NA,NA,0,2,1
BELF2003,BELF,2003,CDV,C,560003,13.25,14,NA,0,0,0,0,BELF CDV,0,0,0,0,5,NA,NA,0,2,1
BELF2003,BELF,2003,VB,E,560012,11.59,12,NA,0,0,0,0,BELF VB,0,0,0,0,5,NA,NA,0,2,1
BELF2003,BELF,2003,NVA,G,560010,5.47,5.33,NA,0,0,0,0,BELF NVA,0,0,0,0,5,NA,NA,0,2,1
BELW1999,BELW,1999,PS,A,560002,23.6,27.1,5.72073678,1,1,0,0,BELW PS,0,0,1,0,5,0.5,0.959481753,0,2,0
BELW1999,BELW,1999,MR,B,560016,23.5,25.7,3.08097166,0,1,0,0,BELW MR,0,0,0,0,5,0,1.680283367,0,2,0
BELW1999,BELW,1999,Green,C,560013,17,15.7,3.801773274,0,1,0,0,BELW Green,0,0,0,0,5,0.5,0.959481753,0,2,0
BELW1999,BELW,1999,PSC,D,560021,13.6,14.2,6.963516746,1,0,0,0,BELW PSC,0,0,0,0,5,0,2.20226172,0,2,0
BELW1999,BELW,1999,FN,E,560019,3.3,1.4,NA,0,0,0,0,BELW FN,0,0,0,0,5,NA,NA,0,2,1
BELW2003,BELW,2003,PS,D,560002,13.02,16.67,NA,1,1,0,0,BELW PS,0,0,1,0,4,NA,NA,0,2,1
BELW2003,BELW,2003,MR,F,560026,11.4,16,NA,1,1,0,0,BELW MR,0,0,0,0,4,NA,NA,0,2,1
BELW2003,BELW,2003,CDH,H,560001,3.06,0.67,NA,0,0,0,0,BELW CDH,0,0,0,0,4,NA,NA,0,2,1
BELW2003,BELW,2003,Green,I,560013,3.06,2.67,NA,1,0,0,0,BELW Green,0,0,0,0,4,NA,NA,0,2,1
BGR_2001,BGR,2001,NDST,A,1000019,42.74,50,6.544848036,0,1,1,0,BGR NDST,0,0,1,0,7,1,0,0,2,0
BGR_2001,BGR,2001,UDF,B,1000034,18.18,21.3,8.797935103,1,0,0,1,BGR UDF,0,0,0,0,7,0,2.253087068,0,2,0
BGR_2001,BGR,2001,BSP,C,1000002,17.15,20,1.701574264,0,1,0,0,BGR BSP,0,0,0,0,7,0,4.843273771,0,2,0
BGR_2001,BGR,2001,MRF,D,1000003,7.45,8.8,5.121212121,0,1,0,0,BGR MRF,0,0,0,0,7,0,1.423635914,0,2,0
BGR_2001,BGR,2001,MG,E,1000036,3.63,0,5.762974438,0,0,0,0,BGR MG,0,0,0,0,7,0,0.781873597,0,2,0
BGR_2001,BGR,2001,EL,F,1000040,0.98,0,3.410384068,0,0,0,0,BGR EL,0,0,0,0,7,0,3.134463967,0,2,0
BGR_2001,BGR,2001,VMRO,G,1000025,3.63,0,5.88431677,0,0,0,0,BGR VMRO,0,0,0,0,7,0,0.660531265,0,2,0
BGR_2014,BGR,2014,GERB,A,1000001,32.67,35,7.525655644,0,1,1,0,BGR GERB,0,0,1,0,8,0,1.13496453,0,2,0
BGR_2014,BGR,2014,BSP,B,1000020,15.4,16.25,1.110509209,1,0,0,1,BGR BSP,0,0,0,0,8,0,5.280181905,0,2,0
